user_id,flags,instruction,category,intent,response
612755,BLN,I can no longer afford purchase {{Order Number}},ORDER,cancel_order,I can no longer afford purchase {{Order Number}}
456541,BLQ,i need assistance canceling purchase {{Order Number}},ORDER,cancel_order,i need assistance canceling purchase {{Order Number}}
951806,BLP,I would like to cancel purchase {{Order Number}},ORDER,cancel_order,I would like to cancel purchase {{Order Number}}
443080,BCELNQZ,i do not want these article i try to cancel order {{Order Number}},ORDER,cancel_order,i do not want these article i try to cancel order {{Order Number}}
476815,BLQ,i need help to cancel purchase {{Order Number}},ORDER,cancel_order,i need help to cancel purchase {{Order Number}}
308144,BL,I have got to cancel purchase {{Order Number}},ORDER,cancel_order,I have got to cancel purchase {{Order Number}}
716913,BM,problems with cancelling order {{Order Number}},ORDER,cancel_order,problems with cancelling order {{Order Number}}
690130,BL,I need help canceling purchase {{Order Number}},ORDER,cancel_order,I need help canceling purchase {{Order Number}}
374151,BL,assistance canceling purchase {{Order Number}},ORDER,cancel_order,assistance canceling purchase {{Order Number}}
194219,BIPQ,could ya help me cancel order {{Order Number}},ORDER,cancel_order,could ya help me cancel order {{Order Number}}
687434,BIPZ,could you help me cancelling order {{Order Number}} ?,ORDER,cancel_order,could you help me cancelling order {{Order Number}} ?
152341,BZ,cance order {{Order Number}},ORDER,cancel_order,cance order {{Order Number}}
803345,BL,assistance cancelling purchase {{Order Number}},ORDER,cancel_order,assistance cancelling purchase {{Order Number}}
140158,BL,assistance with canceling purchase {{Order Number}},ORDER,cancel_order,assistance with canceling purchase {{Order Number}}
960413,BK,canceling order {{Order Number}},ORDER,cancel_order,canceling order {{Order Number}}
880894,BIQ,how to cancel order {{Order Number}},ORDER,cancel_order,how to cancel order {{Order Number}}
790213,BL,help me cancelling purchase {{Order Number}},ORDER,cancel_order,help me cancelling purchase {{Order Number}}
668091,BQ,have a question about cancelling order {{Order Number}},ORDER,cancel_order,have a question about cancelling order {{Order Number}}
515402,BLN,I can't afford purchase {{Order Number}},ORDER,cancel_order,I can't afford purchase {{Order Number}}
193765,BL,assistance with canceling purchase {{Order Number}},ORDER,cancel_order,assistance with canceling purchase {{Order Number}}
693584,BCL,"I ordered some item, cancel purchase {{Order Number}}",ORDER,cancel_order,"I ordered some item, cancel purchase {{Order Number}}"
252574,BQ,i need help cancelling order {{Order Number}},ORDER,cancel_order,i need help cancelling order {{Order Number}}
452034,BCLN,"I can't afford order {{Order Number}}, help me cancelling it",ORDER,cancel_order,"I can't afford order {{Order Number}}, help me cancelling it"
333095,BEL,I do not know how I can cancel purchase {{Order Number}},ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}}
686750,BL,I try to cancel purchase {{Order Number}},ORDER,cancel_order,I try to cancel purchase {{Order Number}}
648344,B,problem with cancelling order {{Order Number}},ORDER,cancel_order,problem with cancelling order {{Order Number}}
298640,BCELNV,"I cannot pay for the last purchase I have made, cancel it",ORDER,cancel_order,"I cannot pay for the last purchase I have made, cancel it"
824903,BL,help me cancelling purchase {{Order Number}},ORDER,cancel_order,help me cancelling purchase {{Order Number}}
936450,BILP,could you help me cancel purchase {{Order Number}}?,ORDER,cancel_order,could you help me cancel purchase {{Order Number}}?
876898,BLZ,I want to cancle purchase {{Order Number}},ORDER,cancel_order,I want to cancle purchase {{Order Number}}
997847,BLWZ,help me to cancel my  last goddamn purchase,ORDER,cancel_order,help me to cancel my  last goddamn purchase
995254,BLZ,I have a problem witrh cancelling purchase {{Order Number}},ORDER,cancel_order,I have a problem witrh cancelling purchase {{Order Number}}
803155,BIQZ,can  uhelp me canceling order {{Order Number}},ORDER,cancel_order,can  uhelp me canceling order {{Order Number}}
881201,BLM,problems with canceling purchase {{Order Number}},ORDER,cancel_order,problems with canceling purchase {{Order Number}}
915282,BZ,I need assistancde cancelling order {{Order Number}},ORDER,cancel_order,I need assistancde cancelling order {{Order Number}}
836433,BCL,"I bought some item, cancel order {{Order Number}}",ORDER,cancel_order,"I bought some item, cancel order {{Order Number}}"
754763,BQ,need help with cancelling order {{Order Number}},ORDER,cancel_order,need help with cancelling order {{Order Number}}
877664,BCILN,"I can't pay for this item, can I cancel order {{Order Number}}?",ORDER,cancel_order,"I can't pay for this item, can I cancel order {{Order Number}}?"
830740,BZ,I need help cacneling order {{Order Number}},ORDER,cancel_order,I need help cacneling order {{Order Number}}
814094,BILP,where could I cancel purchase {{Order Number}}?,ORDER,cancel_order,where could I cancel purchase {{Order Number}}?
426830,BCLQWZ,i bought some damn item help to cancep order {{Order Number}},ORDER,cancel_order,i bought some damn item help to cancep order {{Order Number}}
640089,BQ,want assistance to cancel order {{Order Number}},ORDER,cancel_order,want assistance to cancel order {{Order Number}}
962811,BCL,"I have got to cancel purchase {{Order Number}}, help me",ORDER,cancel_order,"I have got to cancel purchase {{Order Number}}, help me"
770203,BIQZ,whag do i need to do to cancel order {{Order Number}},ORDER,cancel_order,whag do i need to do to cancel order {{Order Number}}
513308,B,I want assistance canceling order {{Order Number}},ORDER,cancel_order,I want assistance canceling order {{Order Number}}
349920,BLN,I can no longer afford purchase {{Order Number}},ORDER,cancel_order,I can no longer afford purchase {{Order Number}}
833549,BL,I want assistance to cancel purchase {{Order Number}},ORDER,cancel_order,I want assistance to cancel purchase {{Order Number}}
766918,BK,cancelling order,ORDER,cancel_order,cancelling order
360472,BLQ,i want help cancelling purchase {{Order Number}},ORDER,cancel_order,i want help cancelling purchase {{Order Number}}
716913,BI,what do I have to do to cancel order {{Order Number}}?,ORDER,cancel_order,what do I have to do to cancel order {{Order Number}}?
311207,BIL,can you help me to cancel purchase {{Order Number}}?,ORDER,cancel_order,can you help me to cancel purchase {{Order Number}}?
354257,B,I need help cancelling order {{Order Number}},ORDER,cancel_order,I need help cancelling order {{Order Number}}
245688,BEL,I do not know how I can cancel purchase {{Order Number}},ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}}
911504,BLQ,i want help to cancel purchase {{Order Number}},ORDER,cancel_order,i want help to cancel purchase {{Order Number}}
872553,BIQ,how do i cancel order {{Order Number}},ORDER,cancel_order,how do i cancel order {{Order Number}}
359508,BCLM,"I bought some articles, help me to cancel order {{Order Number}}",ORDER,cancel_order,"I bought some articles, help me to cancel order {{Order Number}}"
267560,BQ,need assistance cancelling order {{Order Number}},ORDER,cancel_order,need assistance cancelling order {{Order Number}}
599667,BILQ,where to cancel purchase {{Order Number}},ORDER,cancel_order,where to cancel purchase {{Order Number}}
529943,B,I want help canceling order {{Order Number}},ORDER,cancel_order,I want help canceling order {{Order Number}}
623111,BLZ,I want help cancellkng purchase {{Order Number}},ORDER,cancel_order,I want help cancellkng purchase {{Order Number}}
126562,B,I need help with cancelling order {{Order Number}},ORDER,cancel_order,I need help with cancelling order {{Order Number}}
843072,B,I want assistance to cancel order {{Order Number}},ORDER,cancel_order,I want assistance to cancel order {{Order Number}}
173950,B,I want assistance to cancel order {{Order Number}},ORDER,cancel_order,I want assistance to cancel order {{Order Number}}
299177,BLQ,need assistance cancelling purchase {{Order Number}},ORDER,cancel_order,need assistance cancelling purchase {{Order Number}}
761725,BI,where can I cancel order {{Order Number}}?,ORDER,cancel_order,where can I cancel order {{Order Number}}?
571531,BMQ,have problems with canceling order {{Order Number}},ORDER,cancel_order,have problems with canceling order {{Order Number}}
783737,BI,where can I cancel order {{Order Number}}?,ORDER,cancel_order,where can I cancel order {{Order Number}}?
397493,BLN,I can no longer pay for order {{Order Number}},ORDER,cancel_order,I can no longer pay for order {{Order Number}}
720055,BLN,I can't afford purchase {{Order Number}},ORDER,cancel_order,I can't afford purchase {{Order Number}}
626236,BCLP,"I would like to cancel purchase {{Order Number}}, I need help",ORDER,cancel_order,"I would like to cancel purchase {{Order Number}}, I need help"
443292,BEQ,i do not know how to cancel order {{Order Number}},ORDER,cancel_order,i do not know how to cancel order {{Order Number}}
939313,BL,help with cancelling purchase {{Order Number}},ORDER,cancel_order,help with cancelling purchase {{Order Number}}
743198,BLQ,i want help cancelling purchase {{Order Number}},ORDER,cancel_order,i want help cancelling purchase {{Order Number}}
632530,BCLN,"I can no longer afford order {{Order Number}}, help me cancel it",ORDER,cancel_order,"I can no longer afford order {{Order Number}}, help me cancel it"
405748,BQ,need assistance canceling order {{Order Number}},ORDER,cancel_order,need assistance canceling order {{Order Number}}
476208,BLM,I have problems with cancelling purchase {{Order Number}},ORDER,cancel_order,I have problems with cancelling purchase {{Order Number}}
965847,BL,I want assistance canceling purchase {{Order Number}},ORDER,cancel_order,I want assistance canceling purchase {{Order Number}}
979199,BILPQ,would it be possible to cancel purchase {{Order Number}},ORDER,cancel_order,would it be possible to cancel purchase {{Order Number}}
562123,BILP,could you help me canceling purchase {{Order Number}}?,ORDER,cancel_order,could you help me canceling purchase {{Order Number}}?
872553,BL,I want help to cancel purchase {{Order Number}},ORDER,cancel_order,I want help to cancel purchase {{Order Number}}
688790,BL,help with cancelling purchase {{Order Number}},ORDER,cancel_order,help with cancelling purchase {{Order Number}}
133288,BL,assistance with canceling purchase {{Order Number}},ORDER,cancel_order,assistance with canceling purchase {{Order Number}}
304019,BZ,cance order {{Order Number}},ORDER,cancel_order,cance order {{Order Number}}
272982,BILQ,can uhelp me cancelling purchase {{Order Number}},ORDER,cancel_order,can uhelp me cancelling purchase {{Order Number}}
659920,BILPQZ,how could icancel purchase {{Order Number}},ORDER,cancel_order,how could icancel purchase {{Order Number}}
260335,BQ,i need assistance canceling order {{Order Number}},ORDER,cancel_order,i need assistance canceling order {{Order Number}}
295937,BEQZ,i do not knwo how to cancel order {{Order Number}},ORDER,cancel_order,i do not knwo how to cancel order {{Order Number}}
739308,BCELV,"I have ordered some article, cancel purchase {{Order Number}}",ORDER,cancel_order,"I have ordered some article, cancel purchase {{Order Number}}"
564348,BLQ,need to cancel purchase {{Order Number}},ORDER,cancel_order,need to cancel purchase {{Order Number}}
437131,BLMQ,have problems with canceling purchase {{Order Number}},ORDER,cancel_order,have problems with canceling purchase {{Order Number}}
545331,BLNQZ,i no longer want purchase  {{Order Number}},ORDER,cancel_order,i no longer want purchase  {{Order Number}}
998101,BLQ,want help to cancel purchase {{Order Number}},ORDER,cancel_order,want help to cancel purchase {{Order Number}}
650507,B,question about canceling order {{Order Number}},ORDER,cancel_order,question about canceling order {{Order Number}}
261354,BILZ,is it possible to cancel purchase {{Order Number}} ?,ORDER,cancel_order,is it possible to cancel purchase {{Order Number}} ?
366218,BQ,have a question about cancelling order {{Order Number}},ORDER,cancel_order,have a question about cancelling order {{Order Number}}
488469,BL,I need assistance to cancel purchase {{Order Number}},ORDER,cancel_order,I need assistance to cancel purchase {{Order Number}}
881559,BL,I need assistance cancelling purchase {{Order Number}},ORDER,cancel_order,I need assistance cancelling purchase {{Order Number}}
852157,BL,help with canceling purchase {{Order Number}},ORDER,cancel_order,help with canceling purchase {{Order Number}}
340677,BL,I need help with canceling purchase {{Order Number}},ORDER,cancel_order,I need help with canceling purchase {{Order Number}}
745156,BQZ,iwant assistance canceling order {{Order Number}},ORDER,cancel_order,iwant assistance canceling order {{Order Number}}
873180,BMQZ,have problems with canceling order  {{Order Number}},ORDER,cancel_order,have problems with canceling order  {{Order Number}}
114180,BLQZ,i wan help to cancel purchase {{Order Number}},ORDER,cancel_order,i wan help to cancel purchase {{Order Number}}
348668,BLQZ,i need help cancelling puchase {{Order Number}},ORDER,cancel_order,i need help cancelling puchase {{Order Number}}
565599,BLN,I can no longer afford order {{Order Number}},ORDER,cancel_order,I can no longer afford order {{Order Number}}
294827,BCIL,"I have got to cancel purchase {{Order Number}}, how do I do it?",ORDER,cancel_order,"I have got to cancel purchase {{Order Number}}, how do I do it?"
744260,BQ,i need help with canceling order {{Order Number}},ORDER,cancel_order,i need help with canceling order {{Order Number}}
937520,BKL,cancel purchase {{Order Number}},ORDER,cancel_order,cancel purchase {{Order Number}}
599674,BZ,assistance with canceling oreder {{Order Number}},ORDER,cancel_order,assistance with canceling oreder {{Order Number}}
548866,BLM,problems with cancelling purchase {{Order Number}},ORDER,cancel_order,problems with cancelling purchase {{Order Number}}
843069,BILQ,is it possible to cancel purchase {{Order Number}},ORDER,cancel_order,is it possible to cancel purchase {{Order Number}}
782981,BL,I need assistance cancelling purchase {{Order Number}},ORDER,cancel_order,I need assistance cancelling purchase {{Order Number}}
866831,BEQ,i do not know how to cancel order {{Order Number}},ORDER,cancel_order,i do not know how to cancel order {{Order Number}}
608076,BLN,I no longer want purchase {{Order Number}},ORDER,cancel_order,I no longer want purchase {{Order Number}}
626163,BIL,can you help me cancelling purchase {{Order Number}}?,ORDER,cancel_order,can you help me cancelling purchase {{Order Number}}?
403217,BL,assistance cancelling purchase {{Order Number}},ORDER,cancel_order,assistance cancelling purchase {{Order Number}}
851293,BL,I need help cancelling purchase {{Order Number}},ORDER,cancel_order,I need help cancelling purchase {{Order Number}}
197948,BLN,I don't want purchase {{Order Number}},ORDER,cancel_order,I don't want purchase {{Order Number}}
554738,BCLM,"I bought some items, I need help to cancel purchase {{Order Number}}",ORDER,cancel_order,"I bought some items, I need help to cancel purchase {{Order Number}}"
134704,BILP,could you help me cancel purchase {{Order Number}}?,ORDER,cancel_order,could you help me cancel purchase {{Order Number}}?
935020,BKL,cancel purchase {{Order Number}},ORDER,cancel_order,cancel purchase {{Order Number}}
310635,BL,problem with cancelling purchase {{Order Number}},ORDER,cancel_order,problem with cancelling purchase {{Order Number}}
664934,BKL,cancel purchase {{Order Number}},ORDER,cancel_order,cancel purchase {{Order Number}}
825632,BILQ,where do i cancel purchase {{Order Number}},ORDER,cancel_order,where do i cancel purchase {{Order Number}}
989805,BQZ,need help with cancelliing order {{Order Number}},ORDER,cancel_order,need help with cancelliing order {{Order Number}}
144454,BLM,I have problems with canceling purchase {{Order Number}},ORDER,cancel_order,I have problems with canceling purchase {{Order Number}}
300179,BI,is it possible to cancel order {{Order Number}}?,ORDER,cancel_order,is it possible to cancel order {{Order Number}}?
513927,BLQZ,i havegot to cancel purchase {{Order Number}},ORDER,cancel_order,i havegot to cancel purchase {{Order Number}}
224789,BCELN,"I cannot pay for this product, cancel order {{Order Number}}",ORDER,cancel_order,"I cannot pay for this product, cancel order {{Order Number}}"
609893,BL,I don't know how I can cancel purchase {{Order Number}},ORDER,cancel_order,I don't know how I can cancel purchase {{Order Number}}
896878,BL,help cancelling purchase {{Order Number}},ORDER,cancel_order,help cancelling purchase {{Order Number}}
563171,BIMP,would you give me information about cancelling orders?,ORDER,cancel_order,would you give me information about cancelling orders?
522526,BL,I need assistance with canceling purchase {{Order Number}},ORDER,cancel_order,I need assistance with canceling purchase {{Order Number}}
429836,BKL,canceling purchase {{Order Number}},ORDER,cancel_order,canceling purchase {{Order Number}}
729059,BCLN,"I can't afford my last item, cancel purchase {{Order Number}}",ORDER,cancel_order,"I can't afford my last item, cancel purchase {{Order Number}}"
199701,BELN,I cannot afford order {{Order Number}},ORDER,cancel_order,I cannot afford order {{Order Number}}
417709,BLMQ,have problems with canceling purchase {{Order Number}},ORDER,cancel_order,have problems with canceling purchase {{Order Number}}
686780,BL,I have a problem with canceling purchase {{Order Number}},ORDER,cancel_order,I have a problem with canceling purchase {{Order Number}}
497626,BL,question about canceling purchase {{Order Number}},ORDER,cancel_order,question about canceling purchase {{Order Number}}
155011,BL,I have got to cancel purchase {{Order Number}},ORDER,cancel_order,I have got to cancel purchase {{Order Number}}
864858,BCILNP,"I can't afford order {{Order Number}}, could I cancel it?",ORDER,cancel_order,"I can't afford order {{Order Number}}, could I cancel it?"
491342,BLQ,i dont know how to cancel purchase {{Order Number}},ORDER,cancel_order,i dont know how to cancel purchase {{Order Number}}
995477,BCLN,"I don't want this item, help me cancel purchase {{Order Number}}",ORDER,cancel_order,"I don't want this item, help me cancel purchase {{Order Number}}"
436638,BQ,i need assistance with canceling order {{Order Number}},ORDER,cancel_order,i need assistance with canceling order {{Order Number}}
892622,BLQ,have a problem with cancelling purchase {{Order Number}},ORDER,cancel_order,have a problem with cancelling purchase {{Order Number}}
746565,BCLN,"I can't afford this product, cancel order {{Order Number}}",ORDER,cancel_order,"I can't afford this product, cancel order {{Order Number}}"
103569,BLZ,cancel purchase  {{Order Number}},ORDER,cancel_order,cancel purchase  {{Order Number}}
538505,BILP,could you help me canceling purchase {{Order Number}}?,ORDER,cancel_order,could you help me canceling purchase {{Order Number}}?
473984,BQ,i try to cancel order {{Order Number}},ORDER,cancel_order,i try to cancel order {{Order Number}}
915738,BI,can you help me cancelling order {{Order Number}}?,ORDER,cancel_order,can you help me cancelling order {{Order Number}}?
136289,BIZ,what do I ned to do to cancel order {{Order Number}}?,ORDER,cancel_order,what do I ned to do to cancel order {{Order Number}}?
207671,BLQ,i need help to cancel purchase {{Order Number}},ORDER,cancel_order,i need help to cancel purchase {{Order Number}}
395117,BCELMVZ,"I have bought some items, help canceling purchase {{Order Number}}",ORDER,cancel_order,"I have bought some items, help canceling purchase {{Order Number}}"
670657,B,I need assistance canceling order {{Order Number}},ORDER,cancel_order,I need assistance canceling order {{Order Number}}
995477,BLN,I can't afford purchase {{Order Number}},ORDER,cancel_order,I can't afford purchase {{Order Number}}
852078,BL,assistance with canceling purchase {{Order Number}},ORDER,cancel_order,assistance with canceling purchase {{Order Number}}
212421,BKZ,canmcel order {{Order Number}},ORDER,cancel_order,canmcel order {{Order Number}}
772292,BL,help with canceling purchase {{Order Number}},ORDER,cancel_order,help with canceling purchase {{Order Number}}
644060,BL,I need help to cancel purchase {{Order Number}},ORDER,cancel_order,I need help to cancel purchase {{Order Number}}
490665,BLNQ,i can no longer afford order {{Order Number}},ORDER,cancel_order,i can no longer afford order {{Order Number}}
521894,BLN,I can no longer pay for order {{Order Number}},ORDER,cancel_order,I can no longer pay for order {{Order Number}}
272037,BMQ,i have problems with canceling order {{Order Number}},ORDER,cancel_order,i have problems with canceling order {{Order Number}}
654566,BM,I have problems with cancelling order {{Order Number}},ORDER,cancel_order,I have problems with cancelling order {{Order Number}}
297246,BCLM,"I purchased some item, help canceling one of the orders",ORDER,cancel_order,"I purchased some item, help canceling one of the orders"
874341,BZ,I need helpto cancel order {{Order Number}},ORDER,cancel_order,I need helpto cancel order {{Order Number}}
322126,BKZ,camceling order {{Order Number}},ORDER,cancel_order,camceling order {{Order Number}}
707128,BCLQW,i purchased some fucking item cancel order {{Order Number}},ORDER,cancel_order,i purchased some fucking item cancel order {{Order Number}}
949420,BLQZ,want assistance to cancel pyrchase {{Order Number}},ORDER,cancel_order,want assistance to cancel pyrchase {{Order Number}}
154358,BQ,i need assistance to cancel order {{Order Number}},ORDER,cancel_order,i need assistance to cancel order {{Order Number}}
605347,BQ,i need help with canceling order {{Order Number}},ORDER,cancel_order,i need help with canceling order {{Order Number}}
469809,BK,cancelling order {{Order Number}},ORDER,cancel_order,cancelling order {{Order Number}}
871987,BCELV,"I have ordered some item, cancel purchase {{Order Number}}",ORDER,cancel_order,"I have ordered some item, cancel purchase {{Order Number}}"
672010,BLNQ,i can no longer pay for purchase {{Order Number}},ORDER,cancel_order,i can no longer pay for purchase {{Order Number}}
282655,BL,I need assistance canceling purchase {{Order Number}},ORDER,cancel_order,I need assistance canceling purchase {{Order Number}}
302033,BCELN,"I do not want this item, cancel order {{Order Number}}",ORDER,cancel_order,"I do not want this item, cancel order {{Order Number}}"
313762,BLQ,i need assistance cancelling purchase {{Order Number}},ORDER,cancel_order,i need assistance cancelling purchase {{Order Number}}
631492,BLQZ,ened help with cancelling purchase {{Order Number}},ORDER,cancel_order,ened help with cancelling purchase {{Order Number}}
218410,B,I need assistance cancelling order {{Order Number}},ORDER,cancel_order,I need assistance cancelling order {{Order Number}}
873934,BILQ,can ya help me cancel purchase {{Order Number}},ORDER,cancel_order,can ya help me cancel purchase {{Order Number}}
914925,BLQ,want assistance cancelling purchase {{Order Number}},ORDER,cancel_order,want assistance cancelling purchase {{Order Number}}
370954,BQ,need help with canceling order {{Order Number}},ORDER,cancel_order,need help with canceling order {{Order Number}}
184445,BLN,I can no longer pay for purchase {{Order Number}},ORDER,cancel_order,I can no longer pay for purchase {{Order Number}}
659273,BQ,want assistance canceling order {{Order Number}},ORDER,cancel_order,want assistance canceling order {{Order Number}}
918208,BIL,is it possible to cancel purchase {{Order Number}}?,ORDER,cancel_order,is it possible to cancel purchase {{Order Number}}?
977093,BZ,cance order {{Order Number}},ORDER,cancel_order,cance order {{Order Number}}
103002,BL,assistance canceling purchase {{Order Number}},ORDER,cancel_order,assistance canceling purchase {{Order Number}}
793263,BIL,what do I need to do to cancel purchase {{Order Number}}?,ORDER,cancel_order,what do I need to do to cancel purchase {{Order Number}}?
444280,BL,I want help cancelling purchase {{Order Number}},ORDER,cancel_order,I want help cancelling purchase {{Order Number}}
909413,BQ,i have a problem with cancelling order {{Order Number}},ORDER,cancel_order,i have a problem with cancelling order {{Order Number}}
247638,BNQ,i cant pay for order {{Order Number}},ORDER,cancel_order,i cant pay for order {{Order Number}}
526314,BI,can you help me cancelling order {{Order Number}}?,ORDER,cancel_order,can you help me cancelling order {{Order Number}}?
564227,BL,I need help to cancel purchase {{Order Number}},ORDER,cancel_order,I need help to cancel purchase {{Order Number}}
443924,BL,I have a problem with cancelling purchase {{Order Number}},ORDER,cancel_order,I have a problem with cancelling purchase {{Order Number}}
802417,BKLZ,canceling purechase {{Order Number}},ORDER,cancel_order,canceling purechase {{Order Number}}
921956,B,I need help cancelling order {{Order Number}},ORDER,cancel_order,I need help cancelling order {{Order Number}}
690028,BEZ,I dp not know how to cancel order {{Order Number}},ORDER,cancel_order,I dp not know how to cancel order {{Order Number}}
309799,BI,what do I need to do to cancel order {{Order Number}}?,ORDER,cancel_order,what do I need to do to cancel order {{Order Number}}?
626412,BQ,i dont know what to do to cancel order {{Order Number}},ORDER,cancel_order,i dont know what to do to cancel order {{Order Number}}
951904,BK,cancel order {{Order Number}},ORDER,cancel_order,cancel order {{Order Number}}
926290,BILQ,is it possible to cancel purchase {{Order Number}},ORDER,cancel_order,is it possible to cancel purchase {{Order Number}}
385821,B,I am trying to cancel order {{Order Number}},ORDER,cancel_order,I am trying to cancel order {{Order Number}}
961031,BZ,I need help with cancellng order {{Order Number}},ORDER,cancel_order,I need help with cancellng order {{Order Number}}
871839,BL,help canceling purchase {{Order Number}},ORDER,cancel_order,help canceling purchase {{Order Number}}
160365,BL,I want help cancelling purchase {{Order Number}},ORDER,cancel_order,I want help cancelling purchase {{Order Number}}
418062,BLZ,I want help cancellkng purchase {{Order Number}},ORDER,cancel_order,I want help cancellkng purchase {{Order Number}}
690520,BCLN,"I can't afford order {{Order Number}}, help me cancelling it",ORDER,cancel_order,"I can't afford order {{Order Number}}, help me cancelling it"
915260,B,I need assistance to cancel order {{Order Number}},ORDER,cancel_order,I need assistance to cancel order {{Order Number}}
527581,B,I have a problem with cancelling order {{Order Number}},ORDER,cancel_order,I have a problem with cancelling order {{Order Number}}
277586,B,assistance canceling the last order,ORDER,cancel_order,assistance canceling the last order
203627,B,assistance to cancel order {{Order Number}},ORDER,cancel_order,assistance to cancel order {{Order Number}}
928904,BCLN,"I don't want this product, cancel purchase {{Order Number}}",ORDER,cancel_order,"I don't want this product, cancel purchase {{Order Number}}"
575167,BL,assistance cancelling purchase {{Order Number}},ORDER,cancel_order,assistance cancelling purchase {{Order Number}}
760929,BELN,I cannot afford order {{Order Number}},ORDER,cancel_order,I cannot afford order {{Order Number}}
501900,BM,problems with cancelling order {{Order Number}},ORDER,cancel_order,problems with cancelling order {{Order Number}}
993595,BLQ,need help canceling purchase {{Order Number}},ORDER,cancel_order,need help canceling purchase {{Order Number}}
143887,BLNQ,i can no longer afford purchase {{Order Number}},ORDER,cancel_order,i can no longer afford purchase {{Order Number}}
